timestamp,run_name,dataset_root,max_classes,train_samples,val_samples,test_samples,epochs_completed,batch_size,learning_rate,chance_acc,best_val_acc,eval_subset,eval_loss,eval_acc,interpretation,model_path,wrong_predictions_path
20260425_114344,stroke_cnn_200_20260425_114344,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_114344.csv
20260425_213748,stroke_cnn_200_20260425_213748,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_213748.csv
20260425_223250,stroke_cnn_200_20260425_223250,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_223250.csv
20260425_230930,stroke_cnn_200_20260425_230930,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_230930.csv
20260425_231328,stroke_cnn_200_20260425_231328,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_231328.csv
20260425_231343,stroke_cnn_200_20260425_231343,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260425_231343.csv
20260428_131302,stroke_cnn_200_20260428_131302,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260428_131302.csv
20260428_131700,stroke_cnn_200_20260428_131700,stroke/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298976745605469,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_200.pth,experiment_logs\wrong_predictions_stroke_cnn_200_20260428_131700.csv
20260428_131939,stroke_cnn_20_20260428_131939,stroke/Thiri_Shin_Thant,20,41,20,0,4,64,0.001,0.05,0.05,validation,2.998891830444336,0.05,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_20.pth,experiment_logs\wrong_predictions_stroke_cnn_20_20260428_131939.csv
20260428_132227,stroke_cnn_50_20260428_132227,stroke/Thiri_Shin_Thant,50,101,50,0,4,64,0.001,0.02,0.02,validation,3.9154062271118164,0.02,At or below chance level: no meaningful learning yet.,checkpoints\best_stroke_cnn_50.pth,experiment_logs\wrong_predictions_stroke_cnn_50_20260428_132227.csv
20260428_132418,stroke_cnn_100_20260428_132418,stroke/Thiri_Shin_Thant,100,205,100,0,6,64,0.001,0.01,0.02,validation,4.60573787689209,0.02,"Above chance, but still weak.",checkpoints\best_stroke_cnn_100.pth,experiment_logs\wrong_predictions_stroke_cnn_100_20260428_132418.csv
20260428_132640,time_cnn_20_20260428_132640,time/Thiri_Shin_Thant,20,41,20,0,4,64,0.001,0.05,0.05,validation,2.996093988418579,0.05,At or below chance level: no meaningful learning yet.,checkpoints\best_time_cnn_20.pth,experiment_logs\wrong_predictions_time_cnn_20_20260428_132640.csv
20260428_132913,time_cnn_50_20260428_132913,time/Thiri_Shin_Thant,50,101,50,0,4,64,0.001,0.02,0.02,validation,3.9142465591430664,0.02,At or below chance level: no meaningful learning yet.,checkpoints\best_time_cnn_50.pth,experiment_logs\wrong_predictions_time_cnn_50_20260428_132913.csv
20260428_133031,time_cnn_100_20260428_133031,time/Thiri_Shin_Thant,100,205,100,0,4,64,0.001,0.01,0.01,validation,4.605472011566162,0.01,At or below chance level: no meaningful learning yet.,checkpoints\best_time_cnn_100.pth,experiment_logs\wrong_predictions_time_cnn_100_20260428_133031.csv
20260428_133147,time_cnn_200_20260428_133147,time/Thiri_Shin_Thant,200,412,200,0,4,64,0.001,0.005,0.005,validation,5.298913936614991,0.005,At or below chance level: no meaningful learning yet.,checkpoints\best_time_cnn_200.pth,experiment_logs\wrong_predictions_time_cnn_200_20260428_133147.csv
